"","Var1","Freq"
"234","La Cruz",139
"107","Asomadera No. 3",133
"131","Betania",133
"305","Monteclaro",127
"334","Piedras Blancas",123
"261","La Verde",116
"101","Área de Expansión Altos de Calasanz",113
"320","Pablo VI",111
"319","Oriente",105
"304","Miravalle",104
"332","Picachito",103
"315","Nuevos Conquistadores",97
"404","Trece de Noviembre",96
"396","Suburbano Travesias",95
"276","Llanaditas",88
"132","Blanquizal",87
"390","Suburbano Mirador del Poblado",85
"87","Aldea Pablo VI",84
"268","Las Independencias",84
"104","Área de Expansión San Antonio de Prado",83
"413","Versalles No. 2",81
"197","El Socorro",80
"244","La Ladera",79
"383","Suburbano Altavista",77
"298","María Cano Carambolas",76
"153","Campo Valdés No.2",73
"330","Pedregal Bajo",70
"248","La Loma Oriental",69
"199","El Triunfo",66
"316","Ocho de Marzo",66
"329","Pedregal Alto",62
"381","SUBURB El Plan",61
"136","Bomboná No.1",60
"425","Villa Turbay",54
"171","Eduardo Santos",52
"85","Aguas frias",51
"143","Buga Patio Bonito",50
"251","La mota",48
"224","Juan Pablo II",45
"301","Mirador del Doce",44
"300","Metropolitano",43
"355","San José la Cima No. 1",41
"81","7001",40
"384","Suburbano El Llano",40
"253","La Oculta",39
"247","La Loma de Los Bernal",36
"344","San Antonio",36
"429","Yolombo",36
"391","Suburbano Palma Patio",34
"65","1419",32
"86","Aguas Frias",32
"295","Manrique Central No.1",32
"296","Manrique Central No.2",31
"371","Santa Rosa de Lima",29
"66","1422",28
"98","Area De Expansion Altavista",28
"393","Suburbano Pedregal alto",28
"19","0408",27
"70","1507",26
"185","El Picacho",26
"64","1408",23
"73","1603",23
"59","1204",22
"67","1423",22
"129","Berlín",22
"356","San José la Cima No.2",22
"385","Suburbano El Plan",22
"44","1007",21
"386","Suburbano el Tesoro",21
"50","1019",20
"80","6001",20
"260","La Sierra",20
"177","El Corazon El Morro",17
"246","La Loma",17
"71","1510",16
"110","AUC1",16
"69","1504",15
"18","0402",13
"32","0811",12
"123","Batallón Girardot",12
"99","Área de Expansión Altavista",11
"102","Area De Expansion Belen Rincon",11
"114","Aures No.2",11
"310","Moscú No.2",11
"38","0907",10
"392","Suburbano Palmitas",10
"11","0303",9
"54","1103",9
"299","Media Luna",9
"46","1011",8
"100","Area de Expansion Altos de Calasanz",8
"363","Santa Elena Sector Central",8
"414","Versalles No.1",8
"17","0312",7
"41","1001",7
"42","1003",7
"14","0307",6
"202","El Vergel",6
"376","Santo Domingo Savio No.1",6
"422","Villa Lilliam",6
"2","0103",5
"31","0809",5
"49","1018",5
"52","1101",5
"82","7002",5
"382","Suburbano Aguas Frias",5
"8","0211",4
"23","0509",4
"33","0813",4
"47","1012",4
"51","1020",4
"57","1114",4
"172","El Astillero",4
"336","Piedras Blancas Represa",4
"380","Sin Nombre",4
"395","Suburbano Potrerito",4
"415","Versalles No.2",4
"4","0109",3
"6","0205",3
"10","0302",3
"16","0310",3
"22","0505",3
"29","0717",3
"39","0912",3
"53","1102",3
"55","1105",3
"68","1503",3
"75","1611",3
"340","Potrerito",3
"353","San José de la Montaña",3
"389","Suburbano La Palma-El Patio",3
"427","Volcana Guayabal",3
"3","0105",2
"9","0301",2
"13","0306",2
"20","0409",2
"21","0413",2
"24","0514",2
"27","0712",2
"40","0914",2
"43","1004",2
"45","1008",2
"58","1202",2
"61","1206",2
"63","1306",2
"72","1511",2
"74","1605",2
"78","1620",2
"79","5002",2
"83","9004",2
"84","9086",2
"108","Asomadera No.1",2
"122","Barrios de Jesús",2
"324","Palmitas Sector Central",2
"387","Suburbano La Cuchilla",2
"5","0202",1
"7","0208",1
"12","0304",1
"15","0309",1
"25","0606",1
"26","0711",1
"28","0716",1
"30","0803",1
"34","0815",1
"35","0819",1
"36","0903",1
"37","0906",1
"48","1015",1
"56","1108",1
"60","1205",1
"62","1211",1
"76","1612",1
"77","1613",1
"111","AUC2",1
"116","B. Cerro El Volador",1
"137","Boqueron",1
"182","El Llano SE",1
"187","El Plan",1
"200","El Uvito",1
"309","Moscú No.1",1
"314","Nueva Villa de La Iguaná",1
"335","Piedras Blancas - Matasano",1
"354","San Jose Del Manzanillo",1
"379","Sin Inf",1
"394","Suburbano Piedra Gorda",1
"403","Travesías",1
"428","Yarumalito",1
