"";"Var1";"Var2";"Var3";"Freq"
"16617";"Choque";"Tramo de via";"La Candelaria";3028
"11073";"Choque";"Tramo de via";"Caribe";2900
"23817";"Choque";"Tramo de via";"Perpetuo Socorro";2679
"10785";"Choque";"Tramo de via";"Campo Amor";2651
"8553";"Choque";"Tramo de via";"Barrio Colón";2408
"20721";"Choque";"Tramo de via";"Los Conquistadores";2391
"26193";"Choque";"Tramo de via";"Santa Fé";2176
"15681";"Choque";"Tramo de via";"Guayaquil";2019
"10353";"Choque";"Tramo de via";"Cabecera San Antonio de Prado";1998
"24825";"Choque";"Tramo de via";"San Benito";1934
"22377";"Choque";"Tramo de via";"Naranjal";1867
"11145";"Choque";"Tramo de via";"Carlos E. Restrepo";1811
"29937";"Choque";"Tramo de via";"Villa Carlota";1767
"24969";"Choque";"Tramo de via";"San Diego";1754
"30513";"Choque";"Tramo de via";"Villa Nueva";1731
"11721";"Choque";"Tramo de via";"Corazón de Jesús";1668
"28857";"Choque";"Tramo de via";"Terminal de Transporte";1560
"15609";"Choque";"Tramo de via";"Guayabal";1482
"8985";"Choque";"Tramo de via";"Belén";1354
"16329";"Choque";"Tramo de via";"La Aguacatala";1333
"11865";"Choque";"Tramo de via";"Cristo Rey";1298
"29505";"Choque";"Tramo de via";"Universidad Nacional";1223
"16401";"Choque";"Tramo de via";"La Alpujarra";1175
"20649";"Choque";"Tramo de via";"Los Colores";1124
"21009";"Choque";"Tramo de via";"Manila";1121
"9993";"Choque";"Tramo de via";"Boston";1060
"12513";"Choque";"Tramo de via";"El Chagualo";1051
"28641";"Choque";"Tramo de via";"Suramericana";1045
"13521";"Choque";"Tramo de via";"El Poblado";1033
"13665";"Choque";"Tramo de via";"El Progreso";1016
"23775";"Choque";"Interseccion";"Perpetuo Socorro";965
"16575";"Choque";"Interseccion";"La Candelaria";958
"11289";"Choque";"Tramo de via";"Castilla";947
"10641";"Choque";"Tramo de via";"Calle Nueva";937
"16041";"Choque";"Tramo de via";"Jesús Nazareno";908
"9951";"Choque";"Interseccion";"Boston";895
"11361";"Choque";"Tramo de via";"Castropol";863
"8511";"Choque";"Interseccion";"Barrio Colón";851
"24537";"Choque";"Tramo de via";"Prado";842
"28929";"Choque";"Tramo de via";"Toscana";822
"19785";"Choque";"Tramo de via";"Laureles";820
"24495";"Choque";"Interseccion";"Prado";815
"24681";"Choque";"Tramo de via";"Rosales";815
"30471";"Choque";"Interseccion";"Villa Nueva";802
"23529";"Choque";"Tramo de via";"Patio Bonito";791
"15753";"Choque";"Tramo de via";"Héctor Abad Gómez";765
"8481";"Choque";"Tramo de via";"Barrio Colombia";757
"22881";"Choque";"Tramo de via";"Oleoducto";755
"16615";"Atropello";"Tramo de via";"La Candelaria";746
"18921";"Choque";"Tramo de via";"Las Acacias";729
"14673";"Choque";"Tramo de via";"Estación Villa";700
"29145";"Choque";"Tramo de via";"Tricentenario";696
"22017";"Choque";"Tramo de via";"Moravia";679
"27129";"Choque";"Tramo de via";"Sevilla";670
"16353";"Choque";"Glorieta";"La Alpujarra";665
"26481";"Choque";"Tramo de via";"Santa María de los Ángeles";663
"14745";"Choque";"Tramo de via";"Facultad de Minas U. Nacional";656
"17121";"Choque";"Tramo de via";"La Florida";652
"16473";"Choque";"Tramo de via";"La América";649
"11649";"Choque";"Tramo de via";"Cerro Nutibara";641
"9633";"Choque";"Tramo de via";"Bomboná No. 1";629
"18993";"Choque";"Tramo de via";"Las Brisas";619
"28785";"Choque";"Tramo de via";"Tenche";613
"20505";"Choque";"Tramo de via";"Los Balsos No.2";608
"29433";"Choque";"Tramo de via";"Universidad de Antioquia";603
"29217";"Choque";"Tramo de via";"Trinidad";601
"11103";"Choque";"Interseccion";"Carlos E. Restrepo";592
"11937";"Choque";"Tramo de via";"Cuarta Brigada";590
"14889";"Choque";"Tramo de via";"Fátima";585
"20937";"Choque";"Tramo de via";"Los Pinos";581
"10737";"Choque";"Glorieta";"Campo Amor";572
"25041";"Choque";"Tramo de via";"San Germán";566
"7545";"Choque";"Tramo de via";"Asomadera No. 1";563
"13017";"Choque";"Tramo de via";"El Estadio";543
"24897";"Choque";"Tramo de via";"San Bernardo";540
"23385";"Choque";"Tramo de via";"Parque Juan Pablo II";534
"17337";"Choque";"Tramo de via";"La Gloria";520
"19743";"Choque";"Interseccion";"Laureles";512
"15105";"Choque";"Tramo de via";"Florida Nueva";507
"24639";"Choque";"Interseccion";"Rosales";507
"24783";"Choque";"Interseccion";"San Benito";502
"26151";"Choque";"Interseccion";"Santa Fé";496
"20361";"Choque";"Tramo de via";"Los Ángeles";494
"20073";"Choque";"Tramo de via";"Lorena";492
"15639";"Choque";"Interseccion";"Guayaquil";491
"8913";"Choque";"Tramo de via";"Belalcázar";483
"24609";"Choque";"Tramo de via";"Robledo";478
"21081";"Choque";"Tramo de via";"Manrique Central No. 1";474
"11247";"Choque";"Interseccion";"Castilla";468
"21801";"Choque";"Tramo de via";"Miranda";461
"20679";"Choque";"Interseccion";"Los Conquistadores";452
"12009";"Choque";"Tramo de via";"Cucaracho";446
"14241";"Choque";"Tramo de via";"El Tesoro";437
"10857";"Choque";"Tramo de via";"Campo Valdés No. 1";434
"14457";"Choque";"Tramo de via";"El Velódromo";434
"20319";"Choque";"Interseccion";"Los Ángeles";432
"10743";"Choque";"Interseccion";"Campo Amor";428
"9591";"Choque";"Interseccion";"Bomboná No. 1";424
"19209";"Choque";"Tramo de via";"Las Granjas";424
"13881";"Choque";"Tramo de via";"El Rincón";423
"8943";"Choque";"Interseccion";"Belén";422
"30081";"Choque";"Tramo de via";"Villa Flora";422
"21369";"Choque";"Tramo de via";"Manrique Oriental";419
"15999";"Choque";"Interseccion";"Jesús Nazareno";418
"10815";"Choque";"Interseccion";"Campo Valdés No. 1";411
"6465";"Choque";"Tramo de via";"Alfonso López";409
"57";"Choque";"Tramo de via";"0";404
"10209";"Choque";"Tramo de via";"Buenos Aires";403
"10351";"Atropello";"Tramo de via";"Cabecera San Antonio de Prado";403
"20865";"Choque";"Tramo de via";"Los Naranjos";401
"10167";"Choque";"Interseccion";"Buenos Aires";396
"14847";"Choque";"Interseccion";"Fátima";386
"11075";"Otro";"Tramo de via";"Caribe";383
"19353";"Choque";"Tramo de via";"Las Lomas No.1";381
"28809";"Choque";"Glorieta";"Terminal de Transporte";381
"7617";"Choque";"Tramo de via";"Asomadera No. 2";380
"25977";"Choque";"Tramo de via";"San Pedro";380
"6321";"Choque";"Tramo de via";"Alejandría";375
"6393";"Choque";"Tramo de via";"Alejandro Echavarría";375
"15567";"Choque";"Interseccion";"Guayabal";373
"9561";"Choque";"Tramo de via";"Bolivariana";372
"15393";"Choque";"Tramo de via";"Girardot";371
"16689";"Choque";"Tramo de via";"La Castellana";368
"18345";"Choque";"Tramo de via";"La Pilarica";368
"25329";"Choque";"Tramo de via";"San Joaquín";368
"11895";"Choque";"Interseccion";"Cuarta Brigada";367
"28599";"Choque";"Interseccion";"Suramericana";367
"25791";"Choque";"Interseccion";"San Miguel";366
"25113";"Choque";"Tramo de via";"San Isidro";364
"30511";"Atropello";"Tramo de via";"Villa Nueva";364
"10593";"Choque";"Glorieta";"Calle Nueva";354
"6537";"Choque";"Tramo de via";"Altamira";353
"8937";"Choque";"Glorieta";"Belén";353
"11679";"Choque";"Interseccion";"Corazón de Jesús";352
"22335";"Choque";"Interseccion";"Naranjal";350
"20145";"Choque";"Tramo de via";"Loreto";347
"11031";"Choque";"Interseccion";"Caribe";344
"11291";"Otro";"Tramo de via";"Castilla";338
"16257";"Choque";"Tramo de via";"Kennedy";336
"7401";"Choque";"Tramo de via";"Área de Expansión Pajarito";328
"21039";"Choque";"Interseccion";"Manrique Central No. 1";327
"13623";"Choque";"Interseccion";"El Progreso";326
"8409";"Choque";"Tramo de via";"Barrio Caicedo";324
"24823";"Atropello";"Tramo de via";"San Benito";324
"24927";"Choque";"Interseccion";"San Diego";324
"9201";"Choque";"Tramo de via";"Berlin";322
"10311";"Choque";"Interseccion";"Cabecera San Antonio de Prado";322
"11823";"Choque";"Interseccion";"Cristo Rey";318
"10497";"Choque";"Tramo de via";"Calasanz";315
"12873";"Choque";"Tramo de via";"El Diamante";314
"20433";"Choque";"Tramo de via";"Los Balsos No.1";311
"8551";"Atropello";"Tramo de via";"Barrio Colón";309
"12441";"Choque";"Tramo de via";"El Castillo";308
"20961";"Choque";"Glorieta";"Manila";307
"10787";"Otro";"Tramo de via";"Campo Amor";306
"17049";"Choque";"Tramo de via";"La Floresta";304
"13479";"Choque";"Interseccion";"El Poblado";303
"23819";"Otro";"Tramo de via";"Perpetuo Socorro";303
